,Num,AGE,GENDER,NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3
95,149,26,2,7,7,7,7,7,6,6,5,5,7,5,6
96,150,24,2,6,6,6,4,4,4,3,3,3,3,5,4
97,151,24,2,5,4,5,3,5,3,3,5,5,3,4,3
98,152,25,2,2,3,3,5,6,5,3,4,5,5,6,6
99,154,24,2,6,6,7,6,6,6,1,1,2,7,5,2
100,155,24,1,4,4,2,4,5,5,4,5,5,5,6,6
101,156,24,1,6,5,6,5,5,5,3,2,4,5,5,3
102,157,23,1,3,4,4,4,4,6,3,3,3,2,4,2
103,158,23,1,4,7,6,6,5,6,1,2,3,6,6,5
104,160,25,1,5,5,7,6,6,5,3,3,5,7,5,1
105,161,28,1,5,5,5,4,5,5,3,2,4,6,6,5
106,163,27,1,6,6,5,3,5,5,2,2,3,6,5,3
107,164,27,1,5,6,6,6,7,6,3,3,5,6,6,5
108,165,27,1,6,6,7,6,6,6,2,2,2,6,6,4
109,167,28,1,7,7,7,6,7,7,2,1,3,5,4,1
110,168,28,1,2,2,4,4,5,5,3,4,4,4,5,4
111,170,22,1,4,4,3,5,3,5,4,4,4,6,5,3
112,171,28,1,5,5,5,5,5,5,3,4,5,4,4,2
113,172,28,1,3,6,6,6,7,6,4,4,4,4,4,1
114,173,22,1,6,5,7,6,6,6,5,5,4,7,6,4
115,178,23.57142857,1,7,5,5,3,5,6,2,4,2,4,4,1
116,179,23,1,6,7,7,5,5,6,1,1,4,6,6,5
117,180,23,1,6,6,7,6,7,6,7,6,7,5,5,5
118,182,24,1,6,3,6,6,7,6,2,5,4,1,5,6
119,185,24,1,7,7,7,4,6,6,3,3,4,6,6,6
120,186,23,1,6,7,7,4,6,6,3,3,3,7,7,7
121,187,24,1,7,6,6,6,7,6,1,3,2,5,4,2
122,190,23,1,3,4,3,4,6,4,7,5,5,5,5,5
123,191,23,1,4,6,4,6,6,5,5,5,3,7,5,7
124,193,24,1,7,7,7,6,7,6,1,1,4,7,7,7
125,195,23,1,4,4,5,4,5,6,2,2,2,5,6,5
126,196,26,1,5,5,5,4,5,5,4,5,5,4,5,4
127,197,26,1,4,3,6,6,6,6,2,2,2,5,5,4
128,198,24,1,1,3,6,6,5,4,3,5,6,5,4,2
129,199,25,1,7,7,7,6,6,6,2,2,3,5,5,5
130,200,25,1,6,6,6,3,6,6,2,3,1,7,6,4
131,201,25,1,6,6,6,6,5,6,1,3,4,5,5,3
132,202,25,1,5,6,6,5,5,6,3,3,3,6,6,5
133,203,25,1,6,6,6,7,5,6,2,2,2,6,6,6
134,204,25,1,5,4,5,4,5,5,3,3,3,4,4,4
