,Num,Age,Gender,AutSup,IntMot,Energy
0,1,33,1,6.333333333333333,6.0,4.333333333333333
1,4,33,1,4.666666666666667,6.333333333333333,7.0
2,5,34,1,4.333333333333333,5.666666666666667,6.666666666666667
3,6,34,1,5.0,5.666666666666667,4.333333333333333
4,7,34,1,5.0,5.0,6.666666666666667
5,8,34,1,4.666666666666667,5.666666666666667,5.666666666666667
6,11,34,1,4.0,4.0,4.0
7,26,34,1,5.0,5.333333333333333,5.333333333333333
8,27,34,1,4.666666666666667,6.333333333333333,7.0
9,28,34,1,6.333333333333333,6.0,5.0
10,29,34,1,5.333333333333333,5.666666666666667,5.666666666666667
11,31,34,1,6.666666666666667,6.333333333333333,6.666666666666667
12,32,34,1,7.0,6.0,4.666666666666667
13,33,34,1,4.666666666666667,5.666666666666667,4.0
14,34,34,1,4.666666666666667,4.333333333333333,4.666666666666667
15,36,33,1,5.666666666666667,5.333333333333333,4.666666666666667
16,38,33,1,7.0,6.666666666666667,7.0
17,39,33,1,6.333333333333333,6.0,6.333333333333333
18,43,33,1,6.0,5.0,7.0
19,44,33,1,4.666666666666667,5.666666666666667,7.0
20,45,34,1,4.666666666666667,4.666666666666667,6.666666666666667
21,47,34,1,3.3333333333333335,4.0,7.0
22,48,33,1,5.333333333333333,5.333333333333333,6.0
23,49,34,1,6.666666666666667,5.666666666666667,4.333333333333333
24,50,34,1,6.666666666666667,7.0,6.666666666666667
25,51,33,1,7.0,7.0,7.0
26,52,34,1,7.0,7.0,7.0
27,53,34,1,6.0,5.333333333333333,4.666666666666667
28,54,34,1,6.0,5.333333333333333,7.0
29,55,34,1,5.666666666666667,5.333333333333333,5.333333333333333
30,56,34,1,4.666666666666667,5.0,4.0
31,57,34,1,5.0,5.333333333333333,3.3333333333333335
32,58,34,1,6.333333333333333,5.5,6.0
33,59,34,1,5.666666666666667,6.333333333333333,4.333333333333333
34,60,34,1,6.333333333333333,6.666666666666667,6.0
35,61,34,1,3.6666666666666665,6.333333333333333,5.333333333333333
36,62,34,1,7.0,6.666666666666667,7.0
37,66,34,1,6.0,4.666666666666667,5.666666666666667
